STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TAVG,TMAX,TMIN
ODA,GH,140.0,5.933,-0.983,19730803.0,,80.0,82.0,
ODA,GH,140.0,5.933,-0.983,19730814.0,,81.0,,
ODA,GH,140.0,5.933,-0.983,19760618.0,,75.0,,
ODA,GH,140.0,5.933,-0.983,19760629.0,,78.0,81.0,
ODA,GH,140.0,5.933,-0.983,19760706.0,,74.0,84.0,66.0
ODA,GH,140.0,5.933,-0.983,19760813.0,,78.0,82.0,70.0
ODA,GH,140.0,5.933,-0.983,19760828.0,,76.0,,72.0
ODA,GH,140.0,5.933,-0.983,19760829.0,,74.0,79.0,70.0
ODA,GH,140.0,5.933,-0.983,19810312.0,0.0,84.0,,73.0
ODA,GH,140.0,5.933,-0.983,19810317.0,0.0,83.0,91.0,75.0
ODA,GH,140.0,5.933,-0.983,19810328.0,2.36,78.0,,72.0
ODA,GH,140.0,5.933,-0.983,19810413.0,0.0,83.0,,73.0
ODA,GH,140.0,5.933,-0.983,19810518.0,0.08,81.0,,75.0
ODA,GH,140.0,5.933,-0.983,19810520.0,0.0,82.0,,72.0
ODA,GH,140.0,5.933,-0.983,19810611.0,0.0,82.0,90.0,70.0
ODA,GH,140.0,5.933,-0.983,19810615.0,0.0,81.0,86.0,72.0
ODA,GH,140.0,5.933,-0.983,19810824.0,,79.0,,
ODA,GH,140.0,5.933,-0.983,19810902.0,0.0,80.0,,73.0
ODA,GH,140.0,5.933,-0.983,19811029.0,0.94,81.0,,70.0
ODA,GH,140.0,5.933,-0.983,19811111.0,0.08,83.0,,70.0
ODA,GH,140.0,5.933,-0.983,19811201.0,0.0,76.0,,
ODA,GH,140.0,5.933,-0.983,19820504.0,,82.0,,
ODA,GH,140.0,5.933,-0.983,19820802.0,0.79,76.0,,71.0
ODA,GH,140.0,5.933,-0.983,19820812.0,0.0,75.0,82.0,68.0
ODA,GH,140.0,5.933,-0.983,19820909.0,0.0,79.0,82.0,
